"idp","XCOORD","YCOORD","xl93","yl93","dc","dep"
817627,4.633829,47.763199,822386,6741578,8,"21"
817650,2.604907,47.551677,670285,6716886,0,"45"
817684,0.31478,46.976462,495910,6656387,0,"37"
817755,4.372804,46.526242,805224,6603829,0,"71"
817794,0.102681,45.11848,472227,6450757,0,"24"
817835,-3.244442,48.301117,237421,6818388,0,"22"
817844,5.942179,47.766068,920344,6744736,0,"70"
817889,4.972565,48.133942,846726,6783341,8,"52"
817897,5.875431,47.96616,914538,6766770,8,"88"
817899,0.689564,48.475726,529260,6821994,0,"61"
817949,5.029788,48.726342,849289,6849276,0,"55"
817981,0.881351,44.501715,531587,6380332,0,"47"
817992,0.706361,43.168555,513378,6232635,0,"31"
818046,0.186526,44.922166,478039,6428729,0,"24"
818047,5.761003,45.376286,916060,6478987,0,"38"
818079,0.547673,47.880056,516722,6756142,0,"72"
818091,-1.046408,43.109613,370526,6231815,0,"64"
818160,5.550439,47.471466,892074,6711003,8,"70"
818196,-3.073834,48.741617,253797,6866225,0,"22"
818224,7.023377,47.907758,1000454,6764030,0,"68"
818248,6.142912,47.957761,934522,6766598,0,"70"
818267,5.459483,46.825757,887460,6639098,0,"39"
818305,-2.667599,48.200936,279277,6804059,9,"22"
818372,-3.511554,48.756892,221851,6870480,0,"22"
818383,2.059821,45.068659,626007,6441485,0,"19"
818464,-1.645554,47.159363,348245,6683582,0,"44"
818465,1.396311,46.774481,577641,6631726,0,"36"
818470,1.386718,48.807005,581523,6857536,0,"28"
818515,2.054808,46.058251,626928,6551380,0,"23"
818533,3.222238,46.325058,717098,6580596,0,"3"
818556,-2.89846,48.623366,265675,6852138,0,"22"
818564,1.021135,49.270871,555973,6909719,0,"76"
818571,6.779978,47.881243,982433,6760189,8,"88"
818581,6.217941,49.341231,933851,6920507,0,"57"
818624,6.320999,48.185928,946737,6792475,9,"88"
818630,2.339194,47.64193,650385,6727046,0,"45"
818643,-3.127037,47.693663,240868,6750408,0,"56"
818714,5.180914,48.506947,861075,6825191,0,"52"
818726,3.466986,48.10413,734759,6778298,0,"89"
818788,0.517975,42.913919,497165,6204800,0,"65"
818803,2.172697,49.834829,640439,6970980,8,"80"
818830,0.444861,45.52078,500563,6494483,0,"16"
818871,0.620633,45.631595,514649,6506355,0,"24"
818893,4.866933,47.614393,840235,6725437,0,"21"
818998,-0.675929,43.534325,402866,6277501,0,"64"
819006,4.662855,47.816606,824435,6747556,0,"21"
819022,2.276563,44.205606,642186,6345442,0,"12"
819031,2.686278,47.803292,676516,6744813,0,"45"
819037,2.522736,46.850173,663634,6639000,0,"18"
819074,2.27695,43.845979,641851,6305485,0,"81"
819094,3.372626,47.403429,728103,6700409,9,"58"
819141,2.648596,43.665775,671650,6285256,0,"81"
819164,0.617323,42.861659,505106,6198741,0,"31"
819274,4.679078,49.991994,820505,6989445,0,"8"
819293,2.719658,45.032367,677922,6437053,0,"15"
819317,5.882932,44.88623,927584,6424938,9,"38"
819348,0.833628,45.346721,530369,6474253,0,"24"
819392,0.162919,46.829683,483787,6640499,0,"86"
819399,-0.69831,45.819691,412944,6531174,8,"17"
819455,1.668611,42.765633,590906,6186041,0,"9"
819476,5.5676,49.504313,886019,6936910,0,"54"
819529,4.195746,47.447125,790105,6705879,8,"21"
819549,6.35548,47.932642,950493,6764462,0,"70"
819586,4.992924,49.068882,845617,6887285,8,"51"
819620,3.455515,47.564581,734251,6718344,0,"89"
819627,6.655573,47.66974,974232,6736277,0,"70"
819849,3.490633,49.182676,735774,6898215,9,"2"
819926,-1.436274,47.56266,366590,6727400,0,"44"
819954,5.53455,45.437037,898129,6485136,0,"38"
820003,1.779242,43.934465,601979,6315809,0,"81"
820078,5.447792,48.896028,879439,6869006,0,"55"
820132,-0.916153,47.75844,406724,6747057,0,"49"
820165,2.08699,44.672962,627637,6397513,9,"46"
820183,1.095258,49.613041,562285,6947645,0,"76"
820233,5.26039,46.056749,874734,6553277,0,"1"
820272,1.866959,49.869948,618485,6975162,0,"80"
820311,3.262259,45.62294,720436,6502635,0,"63"
820369,2.051748,44.169283,624172,6341597,0,"81"
820383,4.920802,49.26824,839809,6909322,0,"8"
820418,6.041506,44.412846,942121,6372864,0,"4"
820460,6.874417,47.733471,990289,6744132,0,"90"
820498,5.875898,47.17384,917778,6678806,7,"25"
820578,6.541547,49.258369,957766,6912305,8,"57"
820582,5.84318,49.496615,906007,6936738,9,"54"
820676,1.356392,47.529852,576342,6715674,0,"41"
820863,5.626767,47.847411,896431,6752936,8,"52"
820878,1.265247,45.459673,564435,6485959,0,"87"
820898,3.379669,47.76318,728442,6740378,0,"89"
820921,3.317653,47.295961,724005,6688453,0,"58"
821035,0.582637,48.438216,521233,6818063,0,"61"
821070,0.028857,47.511041,476422,6716504,0,"49"
821124,5.123368,47.42852,860048,6705282,0,"21"
821204,3.266019,47.368352,720076,6696480,0,"58"
821216,-0.872009,45.706811,398858,6519300,9,"17"
821217,0.850174,49.484508,544180,6933803,8,"76"
821243,2.531505,49.277916,665903,6908799,0,"60"
821248,2.794938,48.018758,684712,6768728,0,"45"
821333,4.817117,47.687458,836307,6733465,0,"21"
821347,2.558826,49.241934,667869,6904785,8,"60"
821486,4.69304,47.294085,827938,6689568,0,"21"
821509,6.548786,48.340056,962880,6810324,0,"88"
821555,1.939265,47.731195,620492,6737290,0,"45"
821563,0.096319,47.170399,480105,6678501,0,"37"
821589,6.081773,47.851699,930422,6754642,0,"70"
821626,1.239781,48.032505,568815,6771698,0,"28"
821647,2.508658,50.660471,665198,7062728,0,"59"
821670,5.102086,48.040984,856633,6773263,0,"52"
821679,0.513311,45.773883,506789,6522406,0,"16"
