SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:50;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 ha _Oak forest manual clearance by brush-cutter, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest manual clearance by brush-cutter, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_Brush-cutter/hr/FR U;Operation, passenger car, diesel, fleet average/RER S
226;Carbon dioxide, fossil;Air;low. pop.;kg;22.63795943;x;20.88944297;1.748516459
227;Carbon dioxide, fossil;Air;stratosphere + troposphere;kg;2.88399E-06;x;2.78064E-06;1.03354E-07
228;Carbon dioxide, in air;Brut;in air;kg;0.140183902;x;0.120920774;0.019263128
229;Carbon dioxide, land transformation;Air;low. pop.;kg;0.00035326;x;0.00026013;9.313E-05
230;Carbon disulfide;Air;;kg;3.92083E-17;x;3.27399E-17;6.46837E-18
231;Carbon disulfide;Air;high. pop.;kg;2.59056E-11;x;2.16467E-11;4.25886E-12
232;Carbon disulfide;Air;low. pop.;kg;1.79758E-05;x;1.6183E-05;1.7928E-06
233;Carbon disulfide;Eau;river;kg;2.93316E-11;x;2.52602E-11;4.07147E-12
234;Carbon monoxide, biogenic;Air;high. pop.;kg;1.28936E-05;x;1.11624E-05;1.73123E-06
235;Carbon monoxide, biogenic;Air;low. pop.;kg;0.000907509;x;0.000905752;1.75699E-06
236;Carbon monoxide, fossil;Air;;kg;0.028912709;x;0.009163262;0.019749447
237;Carbon monoxide, fossil;Air;high. pop.;kg;0.002552416;x;0.002207654;0.000344762
238;Carbon monoxide, fossil;Air;low. pop.;kg;7.903304546;x;7.900634701;0.002669845
239;Carbon monoxide, fossil;Air;stratosphere + troposphere;kg;3.38753E-09;x;3.26613E-09;1.21401E-10
240;Carbon, in organic matter, in soil;Brut;in ground;kg;2.01942E-05;x;1.43514E-05;5.84285E-06
241;Carbonate;Eau;river;kg;1.10579E-05;x;1.04063E-05;6.51678E-07
242;Carboxylic acids, unspecified;Eau;ocean;kg;0.002162149;x;0.001579749;0.0005824
