SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:55;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;
Product: ;1 ha _Oak forest rack cleaning by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;
Méthode: ;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;
;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack cleaning by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
940;Sodium-24;Eau;river;Bq;0.018612582;x;0.000053628;0.000304056;x;x;0.008210878;0.01004402
941;Sodium chlorate;Air;high. pop.;kg;3.45256E-08;x;9.4289E-10;2.22855E-08;x;x;8.13094E-09;3.16621E-09
942;Sodium chloride;Brut;in ground;kg;0.062443758;x;0.00082237;0.014900122;x;x;0.031164;0.015557267
943;Sodium dichromate;Air;high. pop.;kg;3.25352E-08;x;5.3163E-10;7.69554E-09;x;x;1.55437E-08;8.76431E-09
944;Sodium formate;Air;high. pop.;kg;1.48095E-09;x;5.3671E-12;9.377E-11;x;x;8.28758E-10;5.53051E-10
945;Sodium formate;Eau;river;kg;3.5579E-09;x;1.2894E-11;2.2528E-10;x;x;1.99103E-09;1.32869E-09
946;Sodium hydroxide;Air;high. pop.;kg;1.08725E-08;x;1.4573E-10;1.00999E-09;x;x;7.32475E-09;2.39203E-09
947;Sodium nitrate;Brut;in ground;kg;2.34763E-10;x;1.8597E-13;2.17079E-12;x;x;2.06494E-10;2.59123E-11
948;Sodium sulphate;Brut;in ground;kg;0.000716779;x;0.000023058;0.000550412;x;x;0.000105261;3.80483E-05
949;Sodium, ion;Eau;;kg;0.00092844;x;0.000050378;0.00015231;x;x;0.000488027;0.000237725
950;Sodium, ion;Eau;groundwater;kg;0.001010553;x;0.000014592;0.00030244;x;x;0.00033097;0.000362551
951;Sodium, ion;Eau;ocean;kg;0.17568882;x;0.0055692;0.158903472;x;x;0.007383194;0.003832953
952;Sodium, ion;Eau;river;kg;0.365529;x;0.017069;0.31218096;x;x;0.023523167;0.012755873
953;Solids, inorganic;Eau;groundwater;kg;0.00631866;x;0.00011634;0.002421838;x;x;0.001919925;0.001860557
954;Solids, inorganic;Eau;river;kg;0.001824935;x;9.9469E-06;0.000210717;x;x;0.00066013;0.000944141
955;Solved solids;Eau;;kg;0.000470525;x;3.8601E-07;5.53622E-06;x;x;0.000386385;0.000078218
956;Solved solids;Eau;groundwater;kg;0.000841674;x;4.0758E-06;8.23346E-05;x;x;0.000259538;0.000495726
957;Solved solids;Eau;river;kg;0.001414742;x;0.000004635;7.77286E-05;x;x;0.000528837;0.000803541
958;Stibnite;Brut;in ground;kg;9.44577E-09;x;3.5258E-12;1.46016E-11;x;x;9.39322E-09;3.44223E-11
959;Strontium;Air;;kg;2.17886E-15;x;1.7182E-17;2.92372E-16;x;x;8.86293E-16;9.83016E-16
960;Strontium;Air;high. pop.;kg;1.68038E-06;x;1.3483E-09;2.50286E-08;x;x;5.91878E-07;1.06212E-06
961;Strontium;Air;low. pop.;kg;1.03237E-06;x;1.2437E-08;2.57341E-07;x;x;3.25921E-07;4.36674E-07
962;Strontium;Eau;;kg;5.77305E-07;x;4.7361E-10;6.79268E-09;x;x;4.7407E-07;9.59681E-08
963;Strontium;Eau;groundwater;kg;4.38599E-05;x;3.3813E-07;6.91105E-06;x;x;1.49563E-05;2.16544E-05
964;Strontium;Eau;ocean;kg;0.00104129;x;0.000033008;0.000941806;x;x;4.37589E-05;2.27165E-05
965;Strontium;Eau;river;kg;0.002145637;x;0.00010134;0.001854718;x;x;0.000123798;6.57811E-05
966;Strontium;Sol;agricultural;kg;7.75792E-08;x;3.7741E-09;6.91302E-08;x;x;3.07047E-09;1.60447E-09
967;Strontium;Sol;industrial;kg;8.0788E-06;x;2.9683E-07;7.17378E-06;x;x;3.85796E-07;2.22387E-07
968;Strontium-89;Eau;river;Bq;0.043464208;x;0.00015232;0.001358426;x;x;0.019068222;0.02288524
969;Strontium-90;Eau;ocean;Bq;5.091138164;x;0.05494;1.03266072;x;x;1.906969444;2.096568
970;Strontium-90;Eau;river;Bq;169.9865298;x;3.2935;68.638752;x;x;47.56161111;50.49266667
971;Styrene;Air;;kg;2.67004E-16;x;2.1904E-19;3.14147E-18;x;x;2.19258E-16;4.43852E-17
972;Styrene;Air;high. pop.;kg;5.38611E-08;x;1.438E-09;2.57319E-08;x;x;1.51006E-08;1.15906E-08
973;Styrene;Air;low. pop.;kg;4.90552E-10;x;8.6652E-12;1.7923E-10;x;x;1.537E-10;1.48957E-10
974;Sulfate;Air;;kg;1.03032E-08;x;3.763E-10;8.71329E-09;x;x;6.71113E-10;5.42519E-10
975;Sulfate;Air;high. pop.;kg;0.000185549;x;2.7013E-06;5.96844E-05;x;x;4.86054E-05;7.45575E-05
976;Sulfate;Air;low. pop.;kg;3.08764E-06;x;2.8371E-08;5.09789E-07;x;x;1.19989E-06;1.34959E-06
977;Sulfate;Eau;;kg;1.8075E-06;x;3.8091E-08;8.81047E-07;x;x;7.06372E-07;1.81991E-07
978;Sulfate;Eau;groundwater;kg;0.056720295;x;0.00036976;0.007346539;x;x;0.031196389;0.017807607
979;Sulfate;Eau;ocean;kg;0.003966443;x;0.00010229;0.002771933;x;x;0.000467931;0.000624289
980;Sulfate;Eau;river;kg;0.016834958;x;0.0001886;0.003021127;x;x;0.007982978;0.005642253
981;Sulfide;Eau;ocean;kg;1.23839E-06;x;3.8187E-08;1.08477E-06;x;x;6.86262E-08;4.6805E-08
982;Sulfide;Eau;river;kg;1.00703E-06;x;5.2325E-08;7.04012E-07;x;x;1.45947E-07;1.04749E-07
983;Sulfite;Eau;river;kg;8.84513E-06;x;1.513E-07;3.1229E-06;x;x;2.98537E-06;2.58556E-06
984;Sulfur;Brut;in ground;kg;2.44382E-05;x;1.8608E-07;3.44657E-06;x;x;1.63108E-05;4.49476E-06
985;Sulfur;Eau;;kg;2.80646E-08;x;2.3024E-11;3.30199E-10;x;x;2.30462E-08;4.66521E-09
986;Sulfur;Eau;ocean;kg;8.1032E-06;x;2.5557E-07;7.29107E-06;x;x;3.57367E-07;1.99193E-07
987;Sulfur;Eau;river;kg;0.00030581;x;9.9641E-06;0.000275206;x;x;1.33392E-05;7.30133E-06
988;Sulfur;Sol;agricultural;kg;1.96584E-06;x;3.0981E-08;6.08899E-07;x;x;6.73851E-07;6.52113E-07
989;Sulfur;Sol;industrial;kg;0.000484724;x;0.00001781;0.000430423;x;x;2.31478E-05;1.33432E-05
990;Sulfur dioxide;Air;;kg;0.007207431;x;0.00013869;0.000326464;x;x;0.002495417;0.00424686
991;Sulfur dioxide;Air;high. pop.;kg;0.036668591;x;0.00095095;0.023296728;x;x;0.006739686;0.005681227
992;Sulfur dioxide;Air;low. pop.;kg;0.120026282;x;0.0027061;0.070997472;0.022007356;x;0.013859647;0.010455707
993;Sulfur dioxide;Air;stratosphere + troposphere;kg;2.89515E-10;x;5.7719E-12;1.01001E-10;x;x;1.34025E-10;4.87167E-11
994;Sulfur hexafluoride;Air;;kg;8.34401E-07;x;1.2679E-08;2.57778E-07;x;x;2.75394E-07;2.88551E-07
995;Sulfur hexafluoride;Air;low. pop.;kg;5.25336E-10;x;5.7085E-12;1.00505E-10;x;x;2.22585E-10;1.96537E-10
996;Sulfur trioxide;Air;high. pop.;kg;6.84721E-10;x;5.3067E-12;1.08097E-10;x;x;2.5995E-10;3.11367E-10
997;Sulfuric acid;Air;high. pop.;kg;2.28429E-09;x;3.0604E-11;2.13434E-10;x;x;1.53597E-09;5.04285E-10
998;Sulfuric acid;Air;low. pop.;kg;6.54754E-12;x;7.7568E-14;1.48582E-12;x;x;2.31448E-12;2.66967E-12
999;Sulfuric acid;Sol;agricultural;kg;1.40312E-12;x;1.8811E-14;1.30005E-13;x;x;9.46065E-13;3.08235E-13
1000;Suspended solids, unspecified;Eau;;kg;0.000182636;x;2.6744E-06;5.59104E-05;x;x;6.22559E-05;6.17949E-05
1001;Suspended solids, unspecified;Eau;ocean;kg;0.023112918;x;0.00071668;0.020412538;x;x;0.001192147;0.000791553
1002;Suspended solids, unspecified;Eau;river;kg;0.002755155;x;0.000065225;0.00120345;x;x;0.000545768;0.000940713
1003;t-Butyl methyl ether;Air;high. pop.;kg;7.75829E-09;x;8.4612E-11;1.03153E-09;x;x;3.00481E-09;3.63735E-09
1004;t-Butyl methyl ether;Eau;ocean;kg;3.71824E-06;x;1.1784E-07;3.36227E-06;x;x;1.56556E-07;8.15727E-08
1005;t-Butyl methyl ether;Eau;river;kg;1.38807E-10;x;1.5659E-12;1.85494E-11;x;x;5.25009E-11;6.61905E-11
1006;t-Butylamine;Air;high. pop.;kg;3.86949E-11;x;4.6518E-14;2.8879E-13;x;x;1.35646E-11;2.47949E-11
1007;t-Butylamine;Eau;river;kg;9.28708E-11;x;1.1165E-13;6.93114E-13;x;x;3.25553E-11;5.95108E-11
1008;Talc;Brut;in ground;kg;1.18661E-05;x;3.6947E-08;6.3526E-07;x;x;5.95323E-06;5.24068E-06
1009;Tantalum;Brut;in ground;kg;7.05379E-08;x;9.4025E-10;7.0113E-09;x;x;4.64295E-08;1.61569E-08
1010;Tebutam;Sol;agricultural;kg;1.0926E-08;x;1.3041E-11;7.87987E-11;x;x;3.77507E-09;7.05911E-09
1011;Technetium-99m;Eau;river;Bq;0.056537651;x;0.00016322;0.000931192;x;x;0.024937972;0.030505267
1012;Teflubenzuron;Sol;agricultural;kg;2.89106E-10;x;4.8106E-13;7.00998E-12;x;x;2.19744E-10;6.18714E-11
1013;Tellurium;Brut;in ground;kg;9.68694E-09;x;1.2894E-10;9.79065E-10;x;x;6.33762E-09;2.24131E-09
1014;Tellurium-123m;Eau;river;Bq;0.007971805;x;0.000078011;0.001432464;x;x;0.003110364;0.003350967
1015;Tellurium-132;Eau;river;Bq;0.000142437;x;4.1039E-07;2.32683E-06;x;x;6.28359E-05;7.68638E-05
1016;Terpenes;Air;low. pop.;kg;1.62108E-08;x;5.7839E-10;1.28646E-08;x;x;1.98809E-09;7.79664E-10
1017;Thallium;Air;;kg;2.90382E-09;x;7.7498E-11;1.12869E-09;x;x;7.58003E-10;9.39627E-10
1018;Thallium;Air;high. pop.;kg;1.4199E-08;x;1.1515E-11;2.14283E-10;x;x;5.13099E-09;8.84226E-09
1019;Thallium;Air;low. pop.;kg;1.93339E-09;x;3.9544E-12;7.58394E-11;x;x;5.65849E-10;1.28775E-09
1020;Thallium;Eau;;kg;2.51606E-11;x;2.0642E-14;2.96041E-13;x;x;2.06612E-11;4.18273E-12
1021;Thallium;Eau;groundwater;kg;7.61706E-09;x;1.9539E-11;3.40791E-10;x;x;5.07122E-09;2.18552E-09
1022;Thallium;Eau;river;kg;1.70634E-08;x;2.8834E-10;5.949E-09;x;x;5.81969E-09;5.00635E-09
1023;Thiram;Sol;agricultural;kg;7.38047E-11;x;2.6333E-12;5.85705E-11;x;x;9.05137E-12;3.54953E-12
1024;Thorium;Air;high. pop.;kg;1.68037E-08;x;1.3466E-11;2.50002E-10;x;x;5.92128E-09;1.0619E-08
1025;Thorium;Air;low. pop.;kg;7.57829E-09;x;1.4479E-11;2.75774E-10;x;x;2.21879E-09;5.06925E-09
1026;Thorium-228;Air;;Bq;9.83999E-11;x;7.7598E-13;1.32036E-11;x;x;4.00253E-11;4.43951E-11
1027;Thorium-228;Air;high. pop.;Bq;0.048674516;x;0.000039007;0.000723909;x;x;0.017172;0.0307396
1028;Thorium-228;Air;low. pop.;Bq;0.032445192;x;0.00058154;0.012088222;x;x;0.01081995;0.00895548
1029;Thorium-228;Eau;groundwater;Bq;1.19354E-05;x;3.2975E-07;7.85235E-06;x;x;1.84941E-06;1.90392E-06
1030;Thorium-228;Eau;ocean;Bq;114.803793;x;3.6391;103.831728;x;x;4.826091667;2.506873333
1031;Thorium-228;Eau;river;Bq;237.1347662;x;11.197;204.981504;x;x;13.68872222;7.26754
1032;Thorium-230;Air;low. pop.;Bq;0.157482409;x;0.0015472;0.028695576;x;x;0.059934167;0.067305467
1033;Thorium-230;Eau;river;Bq;103.250685;x;0.94874;17.0478672;x;x;40.12394444;45.13013333
1034;Thorium-232;Air;;Bq;1.54628E-10;x;1.2194E-12;2.07484E-11;x;x;6.28978E-11;6.97623E-11
1035;Thorium-232;Air;high. pop.;Bq;0.030973291;x;0.000024822;0.000460671;x;x;0.010926392;0.019561407
1036;Thorium-232;Air;low. pop.;Bq;0.050922413;x;0.00091475;0.019022858;x;x;0.016945278;0.014039527
1037;Thorium-232;Eau;river;Bq;0.076338467;x;0.0013122;0.02722356;x;x;0.027091833;0.020710873
1038;Thorium-234;Air;low. pop.;Bq;0.041184107;x;0.00037728;0.006777389;x;x;0.016053111;0.017976327
1039;Thorium-234;Eau;river;Bq;0.756826728;x;0.0069543;0.124961928;x;x;0.294105833;0.330804667
1040;Tin;Brut;in ground;kg;7.76556E-06;x;5.9647E-08;5.52355E-07;x;x;4.29889E-06;2.85467E-06
1041;Tin;Air;;kg;1.83683E-07;x;3.6475E-10;5.3829E-09;x;x;1.6932E-07;8.61508E-09
1042;Tin;Air;high. pop.;kg;1.08924E-08;x;4.2362E-11;6.46682E-10;x;x;5.16294E-09;5.04039E-09
1043;Tin;Air;low. pop.;kg;2.90974E-06;x;2.8058E-09;4.46213E-08;x;x;1.32176E-06;1.54056E-06
1044;Tin;Sol;agricultural;kg;4.25451E-10;x;5.9873E-12;9.73715E-11;x;x;2.03123E-10;1.1897E-10
1045;Tin, ion;Eau;;kg;1.16462E-09;x;9.5552E-13;1.37035E-11;x;x;9.56356E-10;1.93604E-10
1046;Tin, ion;Eau;groundwater;kg;6.68302E-08;x;1.0533E-10;1.56372E-09;x;x;4.69757E-08;1.81855E-08
1047;Tin, ion;Eau;river;kg;4.93507E-08;x;4.1425E-10;8.43526E-09;x;x;1.75931E-08;2.29082E-08
1048;TiO2, 54% in ilmenite, 2.6% in crude ore, in ground;Brut;in ground;kg;0.010679696;x;0.000054845;0.001101457;x;x;0.003335761;0.006187633
1049;TiO2, 95% in rutile, 0.40% in crude ore, in ground;Brut;in ground;kg;2.93369E-07;x;5.5786E-11;2.45613E-10;x;x;2.72656E-07;2.04122E-08
1050;Titanium;Air;;kg;6.90364E-08;x;1.3151E-10;2.50701E-09;x;x;2.01356E-08;4.62623E-08
1051;Titanium;Air;high. pop.;kg;3.4604E-06;x;3.6081E-09;5.4469E-08;x;x;1.25423E-06;2.1481E-06
1052;Titanium;Air;low. pop.;kg;1.16715E-06;x;2.2303E-09;4.2481E-08;x;x;3.41718E-07;7.80725E-07
1053;Titanium;Sol;agricultural;kg;2.46733E-07;x;3.9628E-09;8.01397E-08;x;x;7.81794E-08;8.44513E-08
1054;Titanium, ion;Eau;;kg;1.82868E-09;x;1.5002E-12;2.15163E-11;x;x;1.50167E-09;3.03992E-10
1055;Titanium, ion;Eau;groundwater;kg;2.45794E-07;x;2.9965E-09;6.16958E-08;x;x;9.61449E-08;8.49569E-08
1056;Titanium, ion;Eau;ocean;kg;2.64948E-08;x;1.0275E-09;2.28665E-08;x;x;1.51344E-09;1.08738E-09
1057;Titanium, ion;Eau;river;kg;2.30272E-06;x;7.4705E-09;1.3152E-07;x;x;1.77624E-06;3.87489E-07
1058;TOC, Total Organic Carbon;Eau;;kg;4.04051E-05;x;3.0315E-07;6.11717E-06;x;x;1.35009E-05;2.04839E-05
1059;TOC, Total Organic Carbon;Eau;ocean;kg;0.019161725;x;0.00071512;0.017098973;x;x;0.000855582;0.000492051
1060;TOC, Total Organic Carbon;Eau;river;kg;0.093685616;x;0.0030937;0.083835024;x;x;0.004276658;0.002480233
1061;Toluene;Air;;kg;3.13766E-06;x;2.7569E-07;2.16926E-07;x;x;1.1909E-06;1.45415E-06
1062;Toluene;Air;high. pop.;kg;0.000235539;x;0.000011264;0.000199858;x;x;1.40279E-05;1.03896E-05
1063;Toluene;Air;low. pop.;kg;1.0584E-05;x;1.7694E-07;3.41447E-06;x;x;2.7931E-06;4.1995E-06
1064;Toluene;Eau;;kg;1.67851E-08;x;1.377E-11;1.97495E-10;x;x;1.37835E-08;2.79029E-09
1065;Toluene;Eau;ocean;kg;8.74224E-05;x;2.7717E-06;7.9122E-05;x;x;3.6464E-06;1.88236E-06
1066;Toluene;Eau;river;kg;0.000135287;x;6.5239E-06;0.000116783;x;x;7.78864E-06;4.19185E-06
1067;Toluene, 2-chloro-;Air;high. pop.;kg;3.37507E-11;x;2.0497E-13;4.02686E-12;x;x;1.24725E-11;1.70464E-11
1068;Toluene, 2-chloro-;Eau;river;kg;6.1045E-11;x;4.1752E-13;8.35926E-12;x;x;2.28607E-11;2.94076E-11
1069;Transformation, from arable;Brut;land;m2;3.34825E-05;x;1.0627E-07;1.74377E-06;x;x;2.75585E-05;4.07395E-06
1070;Transformation, from arable, non-irrigated;Brut;land;m2;0.035620363;x;0.000042517;0.000256904;x;x;0.012307189;0.023013753
1071;Transformation, from arable, non-irrigated, fallow;Brut;land;m2;8.62589E-06;x;9.3259E-09;1.07304E-07;x;x;7.96943E-06;5.3983E-07
1072;Transformation, from dump site, inert material landfill;Brut;land;m2;3.9594E-05;x;5.4984E-07;6.23161E-06;x;x;1.3799E-05;1.90136E-05
1073;Transformation, from dump site, residual material landfill;Brut;land;m2;0.000128643;x;3.9751E-07;8.29068E-06;x;x;4.03183E-05;7.96363E-05
1074;Transformation, from dump site, sanitary landfill;Brut;land;m2;9.58083E-07;x;2.2489E-08;5.21779E-07;x;x;2.87216E-07;1.26599E-07
1075;Transformation, from dump site, slag compartment;Brut;land;m2;2.2975E-07;x;4.1521E-09;5.86338E-08;x;x;1.20544E-07;4.64202E-08
1076;Transformation, from forest;Brut;land;m2;0.035082177;x;0.0012799;0.03111108;x;x;0.001696883;0.000994313
1077;Transformation, from forest, extensive;Brut;land;m2;0.003064811;x;0.000018983;0.000349986;x;x;0.001393812;0.00130203
1078;Transformation, from forest, intensive, clear-cutting;Brut;land;m2;1.78928E-05;x;6.384E-07;1.41995E-05;x;x;2.19435E-06;8.60571E-07
1079;Transformation, from industrial area;Brut;land;m2;3.46433E-05;x;6.4413E-07;1.27755E-05;x;x;1.00753E-05;1.11483E-05
1080;Transformation, from industrial area, benthos;Brut;land;m2;3.98714E-08;x;2.9379E-10;5.95861E-09;x;x;1.52081E-08;1.8411E-08
1081;Transformation, from industrial area, built up;Brut;land;m2;1.43902E-07;x;3.9757E-09;9.46742E-08;x;x;2.22968E-08;2.29553E-08
1082;Transformation, from industrial area, vegetation;Brut;land;m2;2.45477E-07;x;6.7821E-09;1.615E-07;x;x;3.80363E-08;3.91583E-08
1083;Transformation, from mineral extraction site;Brut;land;m2;0.000199185;x;2.2018E-06;4.057E-05;x;x;8.80448E-05;6.83686E-05
1084;Transformation, from pasture and meadow;Brut;land;m2;0.000393036;x;2.7192E-06;4.62025E-05;x;x;0.000135212;0.000208902
1085;Transformation, from pasture and meadow, intensive;Brut;land;m2;2.90696E-05;x;3.4697E-08;2.09649E-07;x;x;1.00438E-05;1.87814E-05
1086;Transformation, from sea and ocean;Brut;land;m2;0.010257366;x;0.00031787;0.009052462;x;x;0.000532032;0.000355003
1087;Transformation, from shrub land, sclerophyllous;Brut;land;m2;0.000263052;x;1.4883E-06;2.38842E-05;x;x;9.58019E-05;0.000141878
1088;Transformation, from tropical rain forest;Brut;land;m2;1.78928E-05;x;6.384E-07;1.41995E-05;x;x;2.19435E-06;8.60571E-07
1089;Transformation, from unknown;Brut;land;m2;0.00265822;x;0.000061309;0.000820616;x;x;0.000694094;0.001082201
1090;Transformation, to arable;Brut;land;m2;0.000191943;x;2.0209E-06;4.12274E-05;x;x;7.82324E-05;7.04628E-05
1091;Transformation, to arable, non-irrigated;Brut;land;m2;0.035649374;x;0.000042552;0.000257122;x;x;0.0123172;0.0230325
1092;Transformation, to arable, non-irrigated, fallow;Brut;land;m2;9.96899E-06;x;2.256E-08;3.05629E-07;x;x;8.81817E-06;8.22633E-07
1093;Transformation, to dump site;Brut;land;m2;0.000318176;x;1.2896E-06;2.53693E-05;x;x;0.0001202;0.000171317
1094;Transformation, to dump site, benthos;Brut;land;m2;0.010253753;x;0.00031774;0.009049622;x;x;0.000531634;0.000354756
1095;Transformation, to dump site, inert material landfill;Brut;land;m2;3.9594E-05;x;5.4984E-07;6.23161E-06;x;x;1.3799E-05;1.90136E-05
1096;Transformation, to dump site, residual material landfill;Brut;land;m2;0.000128644;x;3.9751E-07;8.29068E-06;x;x;4.03198E-05;7.96363E-05
1097;Transformation, to dump site, sanitary landfill;Brut;land;m2;9.58083E-07;x;2.2489E-08;5.21779E-07;x;x;2.87216E-07;1.26599E-07
1098;Transformation, to dump site, slag compartment;Brut;land;m2;2.2975E-07;x;4.1521E-09;5.86338E-08;x;x;1.20544E-07;4.64202E-08
1099;Transformation, to forest;Brut;land;m2;0.000209139;x;0.000001528;2.27944E-05;x;x;7.25143E-05;0.000112302
1100;Transformation, to forest, intensive;Brut;land;m2;0.000211076;x;3.5165E-07;4.82992E-06;x;x;0.000187723;1.81709E-05
1101;Transformation, to forest, intensive, clear-cutting;Brut;land;m2;1.78928E-05;x;6.384E-07;1.41995E-05;x;x;2.19435E-06;8.60571E-07
1102;Transformation, to forest, intensive, normal;Brut;land;m2;0.002805649;x;0.000018078;0.00033365;x;x;0.001183711;0.00127021
1103;Transformation, to forest, intensive, short-cycle;Brut;land;m2;1.78928E-05;x;6.384E-07;1.41995E-05;x;x;2.19435E-06;8.60571E-07
1104;Transformation, to heterogeneous, agricultural;Brut;land;m2;0.001635063;x;0.000061302;0.001445393;x;x;8.11857E-05;4.71824E-05
1105;Transformation, to industrial area;Brut;land;m2;0.000435678;x;3.1557E-06;6.17832E-05;x;x;0.000132239;0.0002385
1106;Transformation, to industrial area, benthos;Brut;land;m2;3.8085E-06;x;1.3007E-07;3.02156E-06;x;x;3.94909E-07;2.6196E-07
1107;Transformation, to industrial area, built up;Brut;land;m2;0.000339486;x;4.7823E-06;8.6956E-05;x;x;0.000111378;0.00013637
1108;Transformation, to industrial area, vegetation;Brut;land;m2;0.000133635;x;0.000003235;5.67447E-05;x;x;3.38405E-05;3.98145E-05
1109;Transformation, to mineral extraction site;Brut;land;m2;0.034174844;x;0.0012257;0.02977884;x;x;0.001844989;0.001325315
1110;Transformation, to pasture and meadow;Brut;land;m2;7.69469E-06;x;9.085E-08;1.99098E-06;x;x;2.56505E-06;3.04781E-06
1111;Transformation, to permanent crop, fruit, intensive;Brut;land;m2;1.02419E-05;x;3.6222E-07;8.04782E-06;x;x;1.37185E-06;4.60009E-07
1112;Transformation, to sea and ocean;Brut;land;m2;3.98714E-08;x;2.9379E-10;5.95861E-09;x;x;1.52081E-08;1.8411E-08
1113;Transformation, to shrub land, sclerophyllous;Brut;land;m2;0.000169424;x;9.7399E-07;1.51026E-05;x;x;5.45252E-05;9.88221E-05
1114;Transformation, to traffic area, rail embankment;Brut;land;m2;9.33396E-06;x;3.7798E-07;1.95979E-06;x;x;2.69358E-06;4.30261E-06
1115;Transformation, to traffic area, rail network;Brut;land;m2;1.02597E-05;x;4.1546E-07;2.15414E-06;x;x;2.96079E-06;4.72934E-06
1116;Transformation, to traffic area, road embankment;Brut;land;m2;3.31387E-05;x;3.474E-07;3.84406E-06;x;x;1.54701E-05;1.34771E-05
1117;Transformation, to traffic area, road network;Brut;land;m2;0.000535692;x;0.000025449;0.000372197;x;x;5.7583E-05;8.04627E-05
1118;Transformation, to unknown;Brut;land;m2;5.71329E-05;x;7.8315E-07;1.46442E-05;x;x;1.72795E-05;2.44262E-05
1119;Transformation, to urban, discontinuously built;Brut;land;m2;3.25258E-07;x;2.1627E-09;4.55058E-08;x;x;1.02607E-07;1.74983E-07
1120;Transformation, to water bodies, artificial;Brut;land;m2;0.000169893;x;3.6696E-06;6.59874E-05;x;x;4.66061E-05;5.36303E-05
1121;Transformation, to water courses, artificial;Brut;land;m2;0.000273595;x;0.000013495;6.45984E-05;x;x;9.46845E-05;0.000100818
1122;Tributyltin compounds;Eau;ocean;kg;2.03636E-06;x;6.7316E-08;1.48997E-06;x;x;2.03623E-07;2.75453E-07
1123;Triethylene glycol;Eau;ocean;kg;7.25397E-07;x;5.492E-09;1.11655E-07;x;x;2.75423E-07;3.32827E-07
1124;Trimethylamine;Air;high. pop.;kg;3.57014E-12;x;4.2844E-15;2.58302E-14;x;x;1.20908E-12;2.33095E-12
1125;Trimethylamine;Eau;river;kg;8.56842E-12;x;1.0282E-14;6.19907E-14;x;x;2.90175E-12;5.5944E-12
1126;Tungsten;Air;low. pop.;kg;1.22594E-10;x;1.1265E-12;2.02415E-11;x;x;4.76396E-11;5.35859E-11
1127;Tungsten;Eau;groundwater;kg;1.14208E-06;x;6.8392E-09;1.34176E-07;x;x;6.94609E-07;3.06459E-07
1128;Tungsten;Eau;river;kg;1.81874E-07;x;2.3583E-09;4.89019E-08;x;x;6.18775E-08;6.87361E-08
1129;Ulexite;Brut;in ground;kg;1.30861E-06;x;2.5127E-08;5.17149E-07;x;x;3.80643E-07;3.85688E-07
1130;Uranium;Brut;in ground;kg;0.000168956;x;1.5374E-06;2.76145E-05;x;x;6.65489E-05;7.32551E-05
1131;Uranium;Air;high. pop.;kg;2.23858E-08;x;1.7932E-11;3.32885E-10;x;x;7.89479E-09;1.41402E-08
1132;Uranium;Air;low. pop.;kg;3.85309E-09;x;7.3615E-12;1.40219E-10;x;x;1.12809E-09;2.57742E-09
1133;Uranium-234;Air;low. pop.;Bq;0.483142356;x;0.0045386;0.082446;x;x;0.186530556;0.2096272
1134;Uranium-234;Eau;river;Bq;0.908107835;x;0.0083442;0.149935968;x;x;0.352891667;0.396936
1135;Uranium-235;Air;low. pop.;Bq;0.023156474;x;0.00021278;0.00382331;x;x;0.008998664;0.01012172
1136;Uranium-235;Eau;river;Bq;1.498360076;x;0.013768;0.24740352;x;x;0.582263889;0.654924667
1137;Uranium-238;Air;;Bq;5.13969E-10;x;4.0531E-12;6.89642E-11;x;x;2.0907E-10;2.31881E-10
1138;Uranium-238;Air;high. pop.;Bq;0.088499732;x;0.000070922;0.001316188;x;x;0.031222889;0.055889733
1139;Uranium-238;Air;low. pop.;Bq;0.609693366;x;0.0067831;0.129035088;x;x;0.228989444;0.244885733
1140;Uranium-238;Eau;groundwater;Bq;0.00049941;x;0.000013798;0.000328561;x;x;7.73829E-05;7.96684E-05
1141;Uranium-238;Eau;ocean;Bq;0.619196532;x;0.016325;0.38796576;x;x;0.101522972;0.1133828
1142;Uranium-238;Eau;river;Bq;2.445004671;x;0.023743;0.43426656;x;x;0.944754444;1.042240667
1143;Uranium alpha;Air;low. pop.;Bq;2.230091878;x;0.020497;0.3683316;x;x;0.866535278;0.974728
1144;Uranium alpha;Eau;river;Bq;43.597394;x;0.40061;7.198464;x;x;16.94233333;19.05598667
