SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:55;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;
Product: ;1 ha _Oak forest rack cleaning by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;
Méthode: ;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;
;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack cleaning by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
100;Arsenic;Sol;agricultural;kg;1.41092E-09;x;2.2128E-11;4.14611E-10;x;x;5.14615E-10;4.59565E-10
101;Arsenic;Sol;industrial;kg;3.23156E-07;x;1.1873E-08;2.86956E-07;x;x;1.54318E-08;8.89554E-09
102;Arsenic, ion;Eau;;kg;4.05055E-07;x;7.6835E-10;1.46457E-08;x;x;1.19418E-07;2.70223E-07
103;Arsenic, ion;Eau;groundwater;kg;2.95854E-06;x;5.2734E-08;1.09536E-06;x;x;9.48096E-07;8.62347E-07
104;Arsenic, ion;Eau;lake;kg;5.12063E-14;x;6.8465E-16;4.90657E-15;x;x;3.41408E-14;1.14742E-14
105;Arsenic, ion;Eau;ocean;kg;3.94073E-07;x;1.2241E-08;3.45596E-07;x;x;2.13899E-08;1.48456E-08
106;Arsenic, ion;Eau;river;kg;1.67603E-05;x;9.6154E-08;1.88606E-06;x;x;1.09775E-05;3.80064E-06
107;Arsine;Air;high. pop.;kg;1.26141E-14;x;1.6911E-16;1.16877E-15;x;x;8.50518E-15;2.77105E-15
108;Atrazine;Sol;agricultural;kg;7.31342E-12;x;9.8026E-14;6.79399E-13;x;x;4.92694E-12;1.60906E-12
109;Barite;Eau;ocean;kg;0.006388917;x;0.00019798;0.005638651;x;x;0.00033125;0.000221036
110;Barium;Air;;kg;2.38972E-15;x;1.8845E-17;3.20655E-16;x;x;9.72064E-16;1.07816E-15
111;Barium;Air;high. pop.;kg;1.13407E-06;x;9.2342E-10;1.70022E-08;x;x;4.07173E-07;7.08969E-07
112;Barium;Air;low. pop.;kg;1.04142E-06;x;1.2618E-08;2.61119E-07;x;x;3.27879E-07;4.39807E-07
113;Barium;Eau;;kg;3.01337E-06;x;2.4721E-09;3.54551E-08;x;x;2.47451E-06;5.00931E-07
114;Barium;Eau;groundwater;kg;3.3806E-07;x;2.9791E-09;6.11018E-08;x;x;1.15441E-07;1.58538E-07
115;Barium;Eau;ocean;kg;0.000500495;x;0.000015866;0.000452678;x;x;2.10322E-05;1.09187E-05
116;Barium;Eau;river;kg;0.0010346;x;0.000048832;0.000894151;x;x;5.97987E-05;3.18175E-05
117;Barium;Sol;agricultural;kg;2.1262E-08;x;1.03E-09;1.88615E-08;x;x;8.93418E-10;4.77152E-10
118;Barium;Sol;industrial;kg;0.000403951;x;0.000014841;0.0003587;x;x;1.92905E-05;1.11192E-05
119;Barium-140;Air;low. pop.;Bq;0.002574889;x;7.4189E-06;4.20638E-05;x;x;0.001135908;0.001389498
120;Barium-140;Eau;river;Bq;0.006698829;x;0.000019301;0.000109436;x;x;0.002955192;0.0036149
121;Baryte;Brut;in ground;kg;0.138732662;x;0.0050116;0.123037824;x;x;0.006741011;0.003942227
122;Basalt;Brut;in ground;kg;0.001955289;x;0.000049843;0.000848375;x;x;0.000509742;0.000547329
123;Benomyl;Sol;agricultural;kg;4.16003E-11;x;1.4843E-12;3.30133E-11;x;x;5.10184E-12;2.00079E-12
124;Bentazone;Sol;agricultural;kg;3.84712E-08;x;4.562E-11;2.66623E-10;x;x;1.30286E-08;2.51304E-08
125;Benzal chloride;Air;;kg;7.47838E-15;x;6.1351E-18;8.79912E-17;x;x;6.14108E-15;1.24318E-15
126;Benzaldehyde;Air;high. pop.;kg;2.41357E-07;x;7.6212E-11;1.45998E-09;x;x;1.23E-07;1.16821E-07
127;Benzene;Air;;kg;3.54511E-06;x;1.3985E-07;6.52033E-07;x;x;1.16881E-06;1.58441E-06
128;Benzene;Air;high. pop.;kg;0.000187443;x;8.0449E-06;0.000143253;x;x;2.02136E-05;1.59317E-05
129;Benzene;Air;low. pop.;kg;0.000201976;x;6.2297E-07;1.23049E-05;0.000159825;x;1.13819E-05;1.78412E-05
130;Benzene;Air;stratosphere + troposphere;kg;5.77585E-12;x;1.1515E-13;2.01496E-12;x;x;2.67385E-12;9.71891E-13
131;Benzene;Eau;;kg;1.77528E-08;x;1.4564E-11;2.08882E-10;x;x;1.45782E-08;2.95112E-09
132;Benzene;Eau;ocean;kg;4.73765E-05;x;1.5017E-06;4.28479E-05;x;x;1.99192E-06;1.03499E-06
133;Benzene;Eau;river;kg;9.1941E-05;x;3.6506E-06;6.71405E-05;x;x;1.49975E-05;6.15236E-06
134;Benzene, 1-methyl-2-nitro-;Air;high. pop.;kg;7.52327E-12;x;9.0114E-15;5.40649E-14;x;x;2.54783E-12;4.91237E-12
135;Benzene, 1,2-dichloro-;Air;high. pop.;kg;1.62329E-10;x;1.9644E-13;1.25226E-12;x;x;5.74682E-11;1.03413E-10
136;Benzene, 1,2-dichloro-;Eau;river;kg;3.94025E-09;x;4.2164E-11;3.01261E-10;x;x;2.361E-09;1.23582E-09
137;Benzene, chloro-;Eau;river;kg;7.38024E-08;x;8.615E-10;6.16325E-09;x;x;4.60673E-08;2.07104E-08
